"Subject" "Activity" "Variable" "Value"
5 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" 0.0435562021989362
6 "LAYING" "tBodyAccMagMEAN" -0.918878850824561
6 "SITTING" "tBodyAccMagMEAN" -0.949543531272727
6 "STANDING" "tBodyAccMagMEAN" -0.945022876491228
6 "WALKING" "tBodyAccMagMEAN" -0.166840713631579
6 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.333754731458333
6 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" 0.0177790974433333
7 "LAYING" "tBodyAccMagMEAN" -0.936392023846154
7 "SITTING" "tBodyAccMagMEAN" -0.918432107083333
7 "STANDING" "tBodyAccMagMEAN" -0.942724659245283
7 "WALKING" "tBodyAccMagMEAN" -0.0978090439438596
7 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.0198795285851064
7 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.198074437978431
8 "LAYING" "tBodyAccMagMEAN" -0.935308633888889
8 "SITTING" "tBodyAccMagMEAN" -0.952139704347826
8 "STANDING" "tBodyAccMagMEAN" -0.953762884074074
8 "WALKING" "tBodyAccMagMEAN" 0.0516786278104167
8 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.176599311818421
8 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" 0.121026629195122
9 "LAYING" "tBodyAccMagMEAN" -0.9308684376
9 "SITTING" "tBodyAccMagMEAN" -0.8933617176
9 "STANDING" "tBodyAccMagMEAN" -0.945167482444444
9 "WALKING" "tBodyAccMagMEAN" -0.0980840496143461
9 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.145886357935714
9 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.260727581428571
10 "LAYING" "tBodyAccMagMEAN" -0.956781819655172
10 "SITTING" "tBodyAccMagMEAN" -0.96075719962963
10 "STANDING" "tBodyAccMagMEAN" -0.951988907954545
10 "WALKING" "tBodyAccMagMEAN" -0.127400912069811
10 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.250843769394737
10 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.0266623294757447
11 "LAYING" "tBodyAccMagMEAN" -0.980621180175439
11 "SITTING" "tBodyAccMagMEAN" -0.961970763773585
11 "STANDING" "tBodyAccMagMEAN" -0.984853836595745
11 "WALKING" "tBodyAccMagMEAN" -0.288323472033898
11 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.126227657258696
11 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.132594623759259
12 "LAYING" "tBodyAccMagMEAN" -0.9482046755
12 "SITTING" "tBodyAccMagMEAN" -0.952176621372549
12 "STANDING" "tBodyAccMagMEAN" -0.941459935081967
12 "WALKING" "tBodyAccMagMEAN" -0.102204550448
12 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.0183139429630435
12 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.229183927115385
13 "LAYING" "tBodyAccMagMEAN" -0.960517768225806
13 "SITTING" "tBodyAccMagMEAN" -0.957690563673469
13 "STANDING" "tBodyAccMagMEAN" -0.971564243157895
13 "WALKING" "tBodyAccMagMEAN" -0.135643867842105
13 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" -0.0294634299553191
13 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.10115350174
14 "LAYING" "tBodyAccMagMEAN" -0.905978250196078
14 "SITTING" "tBodyAccMagMEAN" -0.944197943703704
14 "STANDING" "tBodyAccMagMEAN" -0.943456847333333
14 "WALKING" "tBodyAccMagMEAN" -0.144404671779661
14 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.185537706866667
14 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" 0.140108204051852
15 "LAYING" "tBodyAccMagMEAN" -0.955340661527778
15 "SITTING" "tBodyAccMagMEAN" -0.958669836271186
15 "STANDING" "tBodyAccMagMEAN" -0.961207616226415
15 "WALKING" "tBodyAccMagMEAN" -0.186514650759259
15 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.320449387166667
15 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.000971394711666667
16 "LAYING" "tBodyAccMagMEAN" -0.961834634857143
16 "SITTING" "tBodyAccMagMEAN" -0.961879680724638
16 "STANDING" "tBodyAccMagMEAN" -0.969948825128205
16 "WALKING" "tBodyAccMagMEAN" -0.258766694117647
16 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.191079793587447
16 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.233990331568627
17 "LAYING" "tBodyAccMagMEAN" -0.953021411126761
17 "SITTING" "tBodyAccMagMEAN" -0.97274734640625
17 "STANDING" "tBodyAccMagMEAN" -0.977635981410256
17 "WALKING" "tBodyAccMagMEAN" -0.151151487704918
17 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.148951103536087
17 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.0128062276916667
18 "LAYING" "tBodyAccMagMEAN" -0.986456241538462
18 "SITTING" "tBodyAccMagMEAN" -0.983674151754386
18 "STANDING" "tBodyAccMagMEAN" -0.972607495342466
18 "WALKING" "tBodyAccMagMEAN" -0.287908078035714
18 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" -0.293531973636364
18 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.279146312758621
19 "LAYING" "tBodyAccMagMEAN" -0.96626080686747
19 "SITTING" "tBodyAccMagMEAN" -0.962074065616438
19 "STANDING" "tBodyAccMagMEAN" -0.960505683561644
19 "WALKING" "tBodyAccMagMEAN" 0.0648173438653846
19 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.644604325128205
19 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" 0.01738119347275
20 "LAYING" "tBodyAccMagMEAN" -0.960743126176471
20 "SITTING" "tBodyAccMagMEAN" -0.952738043030303
20 "STANDING" "tBodyAccMagMEAN" -0.92240685739726
20 "WALKING" "tBodyAccMagMEAN" 0.039402280578902
20 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.221851587933333
20 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" 0.00872502461176471
21 "LAYING" "tBodyAccMagMEAN" -0.952596583222222
21 "SITTING" "tBodyAccMagMEAN" -0.974734999411765
21 "STANDING" "tBodyAccMagMEAN" -0.958774298089888
21 "WALKING" "tBodyAccMagMEAN" -0.123455661519231
21 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.245771699004444
21 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.0810453188106383
22 "LAYING" "tBodyAccMagMEAN" -0.934993799305556
22 "SITTING" "tBodyAccMagMEAN" -0.942167353870968
22 "STANDING" "tBodyAccMagMEAN" -0.954807661269841
22 "WALKING" "tBodyAccMagMEAN" 0.0722419121669565
22 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.330999221944444
22 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" 0.210282608333333
23 "LAYING" "tBodyAccMagMEAN" -0.962959196805556
23 "SITTING" "tBodyAccMagMEAN" -0.944080772941176
23 "STANDING" "tBodyAccMagMEAN" -0.957212267058824
23 "WALKING" "tBodyAccMagMEAN" -0.0988770198220339
23 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.127211137694444
23 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.0117536873784314
24 "LAYING" "tBodyAccMagMEAN" -0.9718540425
24 "SITTING" "tBodyAccMagMEAN" -0.968979156470588
24 "STANDING" "tBodyAccMagMEAN" -0.950061017681159
24 "WALKING" "tBodyAccMagMEAN" -0.299983613965517
24 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" -0.0737699163072727
24 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.226402822033898
25 "LAYING" "tBodyAccMagMEAN" -0.56047777609589
25 "SITTING" "tBodyAccMagMEAN" -0.970409337076923
25 "STANDING" "tBodyAccMagMEAN" -0.972663592162162
25 "WALKING" "tBodyAccMagMEAN" -0.40528943
25 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" -0.22010859462069
25 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.305772199076923
26 "LAYING" "tBodyAccMagMEAN" -0.976785042368421
26 "SITTING" "tBodyAccMagMEAN" -0.953079994102564
26 "STANDING" "tBodyAccMagMEAN" -0.968511694324324
26 "WALKING" "tBodyAccMagMEAN" -0.223399171830508
26 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.114379383742
26 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.142874499381818
27 "LAYING" "tBodyAccMagMEAN" -0.982091652162162
27 "SITTING" "tBodyAccMagMEAN" -0.979481668857143
27 "STANDING" "tBodyAccMagMEAN" -0.972753287375
27 "WALKING" "tBodyAccMagMEAN" -0.238853875263158
27 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.108071382861364
27 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.160589355980392
28 "LAYING" "tBodyAccMagMEAN" -0.95811223025
28 "SITTING" "tBodyAccMagMEAN" -0.955789708611111
28 "STANDING" "tBodyAccMagMEAN" -0.92547165164557
28 "WALKING" "tBodyAccMagMEAN" -0.1806660203
28 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.104359216580435
28 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.186240503960784
29 "LAYING" "tBodyAccMagMEAN" -0.986493196666667
29 "SITTING" "tBodyAccMagMEAN" -0.978017021833333
29 "STANDING" "tBodyAccMagMEAN" -0.984745318923077
29 "WALKING" "tBodyAccMagMEAN" -0.0955213393716981
29 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.103705165666667
29 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" 0.00834360271428571
30 "LAYING" "tBodyAccMagMEAN" -0.969829984285714
30 "SITTING" "tBodyAccMagMEAN" -0.957487221451613
30 "STANDING" "tBodyAccMagMEAN" -0.930573574915254
30 "WALKING" "tBodyAccMagMEAN" -0.195140032969231
30 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" -0.0373901122469355
30 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.137627857227385
1 "LAYING" "tGravityAccMagMEAN" -0.8419291525
1 "SITTING" "tGravityAccMagMEAN" -0.948536786170213
1 "STANDING" "tGravityAccMagMEAN" -0.984278207358491
1 "WALKING" "tGravityAccMagMEAN" -0.136971176556842
1 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.0271882914106122
1 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.129927630735849
2 "LAYING" "tGravityAccMagMEAN" -0.977435485208333
2 "SITTING" "tGravityAccMagMEAN" -0.967893623913043
2 "STANDING" "tGravityAccMagMEAN" -0.965875181296296
2 "WALKING" "tGravityAccMagMEAN" -0.290407593728814
2 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.0899511204978723
2 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.107322679520833
3 "LAYING" "tGravityAccMagMEAN" -0.972791346129032
3 "SITTING" "tGravityAccMagMEAN" -0.895383350192308
3 "STANDING" "tGravityAccMagMEAN" -0.925430819016393
3 "WALKING" "tGravityAccMagMEAN" -0.254690333275862
3 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" -0.0628126118283674
3 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.184014895
4 "LAYING" "tGravityAccMagMEAN" -0.954557603148148
4 "SITTING" "tGravityAccMagMEAN" -0.93569482
4 "STANDING" "tGravityAccMagMEAN" -0.906478051785714
4 "WALKING" "tGravityAccMagMEAN" -0.312050574166667
4 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" -0.0491616726733333
4 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.153703935357692
5 "LAYING" "tGravityAccMagMEAN" -0.966777882884615
5 "SITTING" "tGravityAccMagMEAN" -0.9379783225
5 "STANDING" "tGravityAccMagMEAN" -0.906104701071429
5 "WALKING" "tGravityAccMagMEAN" -0.158338674394643
5 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.211138853638298
5 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" 0.0435562021989362
6 "LAYING" "tGravityAccMagMEAN" -0.918878850824561
6 "SITTING" "tGravityAccMagMEAN" -0.949543531272727
6 "STANDING" "tGravityAccMagMEAN" -0.945022876491228
6 "WALKING" "tGravityAccMagMEAN" -0.166840713631579
6 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.333754731458333
6 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" 0.0177790974433333
7 "LAYING" "tGravityAccMagMEAN" -0.936392023846154
7 "SITTING" "tGravityAccMagMEAN" -0.918432107083333
7 "STANDING" "tGravityAccMagMEAN" -0.942724659245283
7 "WALKING" "tGravityAccMagMEAN" -0.0978090439438596
7 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.0198795285851064
7 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.198074437978431
8 "LAYING" "tGravityAccMagMEAN" -0.935308633888889
8 "SITTING" "tGravityAccMagMEAN" -0.952139704347826
8 "STANDING" "tGravityAccMagMEAN" -0.953762884074074
8 "WALKING" "tGravityAccMagMEAN" 0.0516786278104167
8 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.176599311818421
8 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" 0.121026629195122
9 "LAYING" "tGravityAccMagMEAN" -0.9308684376
9 "SITTING" "tGravityAccMagMEAN" -0.8933617176
9 "STANDING" "tGravityAccMagMEAN" -0.945167482444444
9 "WALKING" "tGravityAccMagMEAN" -0.0980840496143461
9 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.145886357935714
9 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.260727581428571
10 "LAYING" "tGravityAccMagMEAN" -0.956781819655172
10 "SITTING" "tGravityAccMagMEAN" -0.96075719962963
10 "STANDING" "tGravityAccMagMEAN" -0.951988907954545
10 "WALKING" "tGravityAccMagMEAN" -0.127400912069811
10 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.250843769394737
10 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.0266623294757447
11 "LAYING" "tGravityAccMagMEAN" -0.980621180175439
11 "SITTING" "tGravityAccMagMEAN" -0.961970763773585
11 "STANDING" "tGravityAccMagMEAN" -0.984853836595745
11 "WALKING" "tGravityAccMagMEAN" -0.288323472033898
11 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.126227657258696
11 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.132594623759259
12 "LAYING" "tGravityAccMagMEAN" -0.9482046755
12 "SITTING" "tGravityAccMagMEAN" -0.952176621372549
12 "STANDING" "tGravityAccMagMEAN" -0.941459935081967
12 "WALKING" "tGravityAccMagMEAN" -0.102204550448
12 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.0183139429630435
12 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.229183927115385
13 "LAYING" "tGravityAccMagMEAN" -0.960517768225806
13 "SITTING" "tGravityAccMagMEAN" -0.957690563673469
13 "STANDING" "tGravityAccMagMEAN" -0.971564243157895
13 "WALKING" "tGravityAccMagMEAN" -0.135643867842105
13 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" -0.0294634299553191
13 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.10115350174
14 "LAYING" "tGravityAccMagMEAN" -0.905978250196078
14 "SITTING" "tGravityAccMagMEAN" -0.944197943703704
14 "STANDING" "tGravityAccMagMEAN" -0.943456847333333
14 "WALKING" "tGravityAccMagMEAN" -0.144404671779661
14 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.185537706866667
14 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" 0.140108204051852
15 "LAYING" "tGravityAccMagMEAN" -0.955340661527778
15 "SITTING" "tGravityAccMagMEAN" -0.958669836271186
15 "STANDING" "tGravityAccMagMEAN" -0.961207616226415
15 "WALKING" "tGravityAccMagMEAN" -0.186514650759259
15 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.320449387166667
15 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.000971394711666667
16 "LAYING" "tGravityAccMagMEAN" -0.961834634857143
16 "SITTING" "tGravityAccMagMEAN" -0.961879680724638
16 "STANDING" "tGravityAccMagMEAN" -0.969948825128205
16 "WALKING" "tGravityAccMagMEAN" -0.258766694117647
16 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.191079793587447
16 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.233990331568627
17 "LAYING" "tGravityAccMagMEAN" -0.953021411126761
17 "SITTING" "tGravityAccMagMEAN" -0.97274734640625
17 "STANDING" "tGravityAccMagMEAN" -0.977635981410256
17 "WALKING" "tGravityAccMagMEAN" -0.151151487704918
17 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.148951103536087
17 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.0128062276916667
18 "LAYING" "tGravityAccMagMEAN" -0.986456241538462
18 "SITTING" "tGravityAccMagMEAN" -0.983674151754386
18 "STANDING" "tGravityAccMagMEAN" -0.972607495342466
18 "WALKING" "tGravityAccMagMEAN" -0.287908078035714
18 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" -0.293531973636364
18 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.279146312758621
19 "LAYING" "tGravityAccMagMEAN" -0.96626080686747
19 "SITTING" "tGravityAccMagMEAN" -0.962074065616438
19 "STANDING" "tGravityAccMagMEAN" -0.960505683561644
19 "WALKING" "tGravityAccMagMEAN" 0.0648173438653846
19 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.644604325128205
19 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" 0.01738119347275
20 "LAYING" "tGravityAccMagMEAN" -0.960743126176471
20 "SITTING" "tGravityAccMagMEAN" -0.952738043030303
20 "STANDING" "tGravityAccMagMEAN" -0.92240685739726
20 "WALKING" "tGravityAccMagMEAN" 0.039402280578902
20 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.221851587933333
20 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" 0.00872502461176471
21 "LAYING" "tGravityAccMagMEAN" -0.952596583222222
21 "SITTING" "tGravityAccMagMEAN" -0.974734999411765
21 "STANDING" "tGravityAccMagMEAN" -0.958774298089888
21 "WALKING" "tGravityAccMagMEAN" -0.123455661519231
21 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.245771699004444
21 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.0810453188106383
22 "LAYING" "tGravityAccMagMEAN" -0.934993799305556
22 "SITTING" "tGravityAccMagMEAN" -0.942167353870968
22 "STANDING" "tGravityAccMagMEAN" -0.954807661269841
22 "WALKING" "tGravityAccMagMEAN" 0.0722419121669565
22 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.330999221944444
22 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" 0.210282608333333
23 "LAYING" "tGravityAccMagMEAN" -0.962959196805556
23 "SITTING" "tGravityAccMagMEAN" -0.944080772941176
23 "STANDING" "tGravityAccMagMEAN" -0.957212267058824
23 "WALKING" "tGravityAccMagMEAN" -0.0988770198220339
23 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.127211137694444
23 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.0117536873784314
24 "LAYING" "tGravityAccMagMEAN" -0.9718540425
24 "SITTING" "tGravityAccMagMEAN" -0.968979156470588
24 "STANDING" "tGravityAccMagMEAN" -0.950061017681159
24 "WALKING" "tGravityAccMagMEAN" -0.299983613965517
24 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" -0.0737699163072727
24 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.226402822033898
25 "LAYING" "tGravityAccMagMEAN" -0.56047777609589
25 "SITTING" "tGravityAccMagMEAN" -0.970409337076923
25 "STANDING" "tGravityAccMagMEAN" -0.972663592162162
25 "WALKING" "tGravityAccMagMEAN" -0.40528943
25 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" -0.22010859462069
25 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.305772199076923
26 "LAYING" "tGravityAccMagMEAN" -0.976785042368421
26 "SITTING" "tGravityAccMagMEAN" -0.953079994102564
26 "STANDING" "tGravityAccMagMEAN" -0.968511694324324
26 "WALKING" "tGravityAccMagMEAN" -0.223399171830508
26 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.114379383742
26 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.142874499381818
27 "LAYING" "tGravityAccMagMEAN" -0.982091652162162
27 "SITTING" "tGravityAccMagMEAN" -0.979481668857143
27 "STANDING" "tGravityAccMagMEAN" -0.972753287375
27 "WALKING" "tGravityAccMagMEAN" -0.238853875263158
27 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.108071382861364
27 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.160589355980392
28 "LAYING" "tGravityAccMagMEAN" -0.95811223025
28 "SITTING" "tGravityAccMagMEAN" -0.955789708611111
28 "STANDING" "tGravityAccMagMEAN" -0.92547165164557
28 "WALKING" "tGravityAccMagMEAN" -0.1806660203
28 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.104359216580435
28 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.186240503960784
29 "LAYING" "tGravityAccMagMEAN" -0.986493196666667
29 "SITTING" "tGravityAccMagMEAN" -0.978017021833333
29 "STANDING" "tGravityAccMagMEAN" -0.984745318923077
29 "WALKING" "tGravityAccMagMEAN" -0.0955213393716981
29 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" 0.103705165666667
29 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" 0.00834360271428571
30 "LAYING" "tGravityAccMagMEAN" -0.969829984285714
30 "SITTING" "tGravityAccMagMEAN" -0.957487221451613
30 "STANDING" "tGravityAccMagMEAN" -0.930573574915254
30 "WALKING" "tGravityAccMagMEAN" -0.195140032969231
30 "WALKING_DOWNSTAIRS" "tGravityAccMagMEAN" -0.0373901122469355
30 "WALKING_UPSTAIRS" "tGravityAccMagMEAN" -0.137627857227385
1 "LAYING" "tBodyAccJerkMagMEAN" -0.9543962646
1 "SITTING" "tBodyAccJerkMagMEAN" -0.987364195531915
1 "STANDING" "tBodyAccJerkMagMEAN" -0.992367790566038
1 "WALKING" "tBodyAccJerkMagMEAN" -0.141428809031579
1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMagMEAN" -0.0894474807979592
1 "WALKING_UPSTAIRS" "tBodyAccJerkMagMEAN" -0.466503446226415
2 "LAYING" "tBodyAccJerkMagMEAN" -0.987741696041667
2 "SITTING" "tBodyAccJerkMagMEAN" -0.986774713043478
2 "STANDING" "tBodyAccJerkMagMEAN" -0.980489077407407
2 "WALKING" "tBodyAccJerkMagMEAN" -0.281424153881356
2 "WALKING_DOWNSTAIRS" "tBodyAccJerkMagMEAN" 0.00565516335106383
2 "WALKING_UPSTAIRS" "tBodyAccJerkMagMEAN" -0.321268911041667
3 "LAYING" "tBodyAccJerkMagMEAN" -0.979484593387097
3 "SITTING" "tBodyAccJerkMagMEAN" -0.969080752884615
3 "STANDING" "tBodyAccJerkMagMEAN" -0.959303840327869
3 "WALKING" "tBodyAccJerkMagMEAN" -0.280009317413793
3 "WALKING_DOWNSTAIRS" "tBodyAccJerkMagMEAN" -0.205239246653061
3 "WALKING_UPSTAIRS" "tBodyAccJerkMagMEAN" -0.436901159491525
4 "LAYING" "tBodyAccJerkMagMEAN" -0.970095771666667
4 "SITTING" "tBodyAccJerkMagMEAN" -0.9701322836
4 "STANDING" "tBodyAccJerkMagMEAN" -0.963370738392857
4 "WALKING" "tBodyAccJerkMagMEAN" -0.366700879833333
4 "WALKING_DOWNSTAIRS" "tBodyAccJerkMagMEAN" -0.228851413747333
4 "WALKING_UPSTAIRS" "tBodyAccJerkMagMEAN" -0.400922254807692
5 "LAYING" "tBodyAccJerkMagMEAN" -0.980141253846154
5 "SITTING" "tBodyAccJerkMagMEAN" -0.969320155681818
5 "STANDING" "tBodyAccJerkMagMEAN" -0.956863566071429
5 "WALKING" "tBodyAccJerkMagMEAN" -0.288333024071429
5 "WALKING_DOWNSTAIRS" "tBodyAccJerkMagMEAN" -0.0637528559361702
5 "WALKING_UPSTAIRS" "tBodyAccJerkMagMEAN" -0.247403476914894
6 "LAYING" "tBodyAccJerkMagMEAN" -0.954750504912281
6 "SITTING" "tBodyAccJerkMagMEAN" -0.962733502
6 "STANDING" "tBodyAccJerkMagMEAN" -0.967102436140351
6 "WALKING" "tBodyAccJerkMagMEAN" -0.195117026052632
6 "WALKING_DOWNSTAIRS" "tBodyAccJerkMagMEAN" 0.10384507225
6 "WALKING_UPSTAIRS" "tBodyAccJerkMagMEAN" -0.207379799254902
7 "LAYING" "tBodyAccJerkMagMEAN" -0.980127239615385
7 "SITTING" "tBodyAccJerkMagMEAN" -0.976559676458333
7 "STANDING" "tBodyAccJerkMagMEAN" -0.973381306226415
7 "WALKING" "tBodyAccJerkMagMEAN" -0.192948900438596
7 "WALKING_DOWNSTAIRS" "tBodyAccJerkMagMEAN" -0.170319619372979
7 "WALKING_UPSTAIRS" "tBodyAccJerkMagMEAN" -0.458695232352941
